Category,Subsystem,Part Name,Description,Link,Qty,Cost (USD)
VISION,Raspberry Pi,Raspberry Pi Zero 2 W,Main vision computer (OpenCV),https://www.seeedstudio.com/Raspberry-Pi-Zero-2-W-p-5197.html,1,15
VISION,Camera,Pi Camera Module V2,Camera for vision station,https://www.adafruit.com/product/3099,1,29.95
VISION,Lighting,LED Ring Light,Consistent lighting for camera,https://www.aliexpress.us/item/3256805359486546.html?spm=a2g0o.productlist.main.2.3202A7CZA7CZM4&algo_pvid=f7b09b1b-2367-4a4e-9a7a-893ddc3621e8&algo_exp_id=f7b09b1b-2367-4a4e-9a7a-893ddc3621e8-1&pdp_ext_f=%7B%22order%22%3A%223%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%2112.25%216.13%21%21%2185.11%2142.55%21%402101eee917671582976958015e5112%2112000033485227042%21sea%21US%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3Aa03e0185%3Bm03_new_user%3A-29895&curPageLogUid=UEnpc0eklOPG&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005005545801298%7C_p_origin_prod%3A,1,12.27
VISION,Mount,3D Printed Camera Mount,Camera alignment over conveyor,N/A (3D printed),1,0
CONTROL,Main MCU,ESP32 Dev Board,Main system controller,https://www.adafruit.com/product/3405,2,20
CONTROL,Motor Driver,TB6612FNG Motor Driver,Drives DC motors,https://www.aliexpress.us/item/3256806796726082.html?spm=a2g0o.productlist.main.2.6fb22ff8ul5Kje&algo_pvid=d1ffd923-9d90-444d-8720-a7bb60038191&algo_exp_id=d1ffd923-9d90-444d-8720-a7bb60038191-1&pdp_ext_f=%7B%22order%22%3A%22518%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%211.79%210.99%21%21%2112.41%216.85%21%4021033d1217671583380607823e3c0a%2112000038938840342%21sea%21US%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3Aa03e0185%3Bm03_new_user%3A-29895%3BpisId%3A5000000187461913&curPageLogUid=cMIb1faO4NV8&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005006983040834%7C_p_origin_prod%3A,2,13.9
CONTROL,Servo Driver,PCA9685 Servo Driver,Drives multiple servos,https://www.adafruit.com/product/815,1,15
CONVEYOR,Motor,DC Gear Motor 6–12V,Drives conveyor belt,https://www.aliexpress.us/item/2251832836005412.html?spm=a2g0o.productlist.main.1.728b7490Ud5gum&algo_pvid=5eaedda2-4f2c-4f64-b82b-195d7e217745&algo_exp_id=5eaedda2-4f2c-4f64-b82b-195d7e217745-0&pdp_ext_f=%7B%22order%22%3A%223971%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%212.77%212.69%21%21%212.77%212.69%21%402103212317671584397821736e4920%2112000042802784311%21sea%21US%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3Aa03e0185%3Bm03_new_user%3A-29895&curPageLogUid=qVr3U6bPXr64&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A33022320164%7C_p_origin_prod%3A,1,2.95
CONVEYOR,Belt,GT2 Belt & Pulley Kit,Conveyor motion system,https://www.aliexpress.us/item/3256808475143118.html?spm=a2g0o.productlist.main.2.3a96tZwEtZwE1W&algo_pvid=af47a3b5-35e7-4248-ad37-6909a18d2986&algo_exp_id=af47a3b5-35e7-4248-ad37-6909a18d2986-1&pdp_ext_f=%7B%22order%22%3A%227%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%2142.27%2120.71%21%21%21293.12%21143.63%21%402103123917675010296798660e1502%2112000046170941751%21sea%21US%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3Aa03e0185%3Bm03_new_user%3A-29895&curPageLogUid=DtGnZigKLv3T&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005008661457870%7C_p_origin_prod%3A,1,23.85
CONVEYOR,Frame,3D Printed Conveyor Frame,Supports belt and rollers,N/A (3D printed),1,0
